names,date,score,genre,country
Creed III,3/2/2023,73,"Drama, Action",AU
Avatar: The Way of Water,12/15/2022,78,"Science Fiction, Adventure, Action",AU
The Super Mario Bros. Movie,4/5/2023,76,"Animation, Adventure, Family, Fantasy, Comedy",AU
Mummies,1/5/2023,70,"Animation, Comedy, Family, Adventure, Fantasy",AU
Supercell,3/17/2023,61,Action,US
Cocaine Bear,2/23/2023,66,"Thriller, Comedy, Crime",AU
John Wick: Chapter 4,3/23/2023,80,"Action, Thriller, Crime",AU
Puss in Boots: The Last Wish,12/26/2022,83,"Animation, Family, Fantasy, Adventure, Comedy",AU
Attack on Titan,9/30/2022,59,"Action, Science Fiction",US
The Park,3/2/2023,58,"Action, Drama, Horror, Science Fiction, Thriller",US
Winnie the Pooh: Blood and Honey,2/14/2023,58,"Horror, Thriller",AU
The Exorcist,11/2/2022,55,Horror,MX
Murder Mystery 2,3/31/2023,65,"Comedy, Mystery, Action",AU
Black Panther: Wakanda Forever,11/10/2022,73,"Action, Adventure, Science Fiction",AU
The Pope's Exorcist,4/6/2023,72,"Horror, Mystery",AU
Prizefighter: The Life of Jem Belcher,7/22/2022,62,"Drama, History",GB
Knock at the Cabin,2/2/2023,64,"Thriller, Mystery, Horror, Fantasy",AU
The Devil Conspiracy,1/13/2023,65,"Horror, Thriller",US
Cazadora,1/19/2023,57,Thriller,CL
Gold Run,12/15/2022,65,"War, Action, Adventure, Thriller",NO
The Magician's Elephant,3/17/2023,73,"Animation, Adventure, Family, Fantasy",AU
Plane,1/27/2023,69,"Action, Adventure, Thriller",GB
The Passion of the Christ,2/25/2004,74,Drama,AU
Batman: The Doom That Came to Gotham,3/28/2023,64,"Animation, Fantasy, Horror, Action, Mystery",US
Shazam! Fury of the Gods,3/16/2023,69,"Action, Comedy, Fantasy",AU
Consecration,2/10/2023,65,"Horror, Thriller",US
Shark Side of the Moon,8/12/2022,53,"Action, Science Fiction, Thriller, Horror",US
Black Adam,10/20/2022,71,"Action, Adventure, Science Fiction, Fantasy",AU
